Champion,Role,Pickrate,Winrate,Banrate,Kills,Deaths,Assists,Pentakills
Zilean,Support,2.70%,51.30%,0.90%,2.2,4.7,13.3,0
Udyr,Jungler,2.70%,49.10%,1.30%,5.6,5.5,7.1,0.0002
Qiyana,Mid,2.70%,48.10%,0.60%,7.9,6.3,5.7,0.001
Aurelion Sol,Mid,2.70%,49.90%,1.00%,6.6,5.8,7.8,0.0024
Akshan,Mid,2.60%,50.00%,2.50%,8.8,6.3,5.4,0.0026
Rumble,Top,2.60%,47.90%,0.80%,5.6,6,6.4,0.0006
Karthus,Jungler,2.30%,49.60%,1.90%,7.6,7.2,9.1,0.0009
Evelynn,Jungler,2.30%,49.40%,2.70%,8.6,5.5,6.7,0.0006
Illaoi,Top,2.20%,48.80%,5.00%,4.9,6.5,4.3,0.0004
Cassiopeia,"Mid, Top",2.20%,51.70%,1.80%,6.1,6.1,5.8,0.0005
Olaf,Top,2.20%,52.10%,1.20%,6.9,6.3,4.6,0.003
Kalista,AD Carry,2.20%,46.20%,0.60%,7.8,6.8,5.6,0.0032
Kassadin,Mid,2.10%,51.20%,1.60%,7.3,5.1,5.4,0.0042
Ziggs,"AD Carry, Mid",2.10%,49.40%,0.40%,5.2,5.6,8.2,0.0004
Heimerdinger,Top,2.10%,51.30%,1.80%,4.8,6.2,6,0.0004
Nilah,AD Carry,2.00%,53.00%,3.60%,8.2,6.3,5.7,0.0064
Kog'Maw,AD Carry,2.00%,52.80%,0.70%,7.9,6.7,6.7,0.003
Rammus,Jungler,1.90%,50.30%,4.00%,4.1,5.3,11.4,0
Bel'Veth,Jungler,1.90%,49.00%,2.60%,6.7,5.4,6.2,0.0008
Annie,Mid,1.90%,47.80%,0.50%,5.3,6.3,8.1,0.0004
Ivern,Jungler,1.90%,49.60%,0.60%,2.8,4.5,13,0.0002
Shyvana,Jungler,1.70%,51.70%,0.30%,5.9,5.2,6.9,0.0012
Renata Glasc,Support,1.50%,48.00%,0.30%,1.7,5.9,13.9,0
Skarner,Jungler,1.50%,43.30%,1.20%,4.1,5.3,10.3,0.0001
Kled,Top,1.50%,51.20%,0.70%,6.6,6.1,6.2,0.0004
Taric,Support,1.40%,52.10%,0.20%,1.8,6,14.4,0
Rek'Sai,Jungler,1.10%,49.40%,0.30%,7,5.3,8,0.0003
